"commentText","hasReplies","numberOfReplies","replies.id","replies.user","replies.date","replies.timestamp","replies.commentText","replies.likes"
"Sempre tiver a certeza que estas urnas s??o umas fraudes. Jair bolsonaro presidente 22018.Mesmo sem voto impresso.","false","0","","","","","",""
"O voto obrigat??rio e a urna eletr??nica s??o jaboticabas inventadas por agentes/servidores p??blicos e pol??tico brasileiros se n??o corruptos, coniventes com a corrup????o ou com suas capacidades mentais e cognitivas significativamente diminuidas. Nenhuma Democracia avan??ada no mundo adota o sistema de voto com urnas eletr??nicas : eu estou me referindo a na????es que dominam as tecnologias mais avan??adas do mundo (aeroespacial) e que s??o democracias maduras, pq ?  por uma simples raz??o : a urna eletr??nica n??o garante que o voto do eleitor seja processado de forma correta, sem trapa??a; com a urna eletr??nica ?? imposs??vel proceder a uma recontagem dos votos que seria um controle cruzado de informa????es. Holanda, B??lgica e EUA testaram e n??o quiseram e hoje somente o bei??ola, o rei do frango e da polenta e o analfabeto funcional do STF, o ditador Maduro, e a  Raquel Dodge defedem o sistema de urna eletr??nica : por que tanta teimosia ?","true","3","","","","","",""
"","","","UgwlEDJg75N7f26WvNd4AaABAg.8ewS5PpDdJV8exuwdLgLgd","aaanjr57","1 month ago","1526086413510","Ok Patrick,perfeitas considera????es,concordo com tudo e s?? poderia acrescentar que a raz??o apresentada que n??o tem dinheiro para atualiza????o com impress??o do voto,n??o convence a maioria dos especialistas,j?? que o TSE por exemplo recusou a iniciativa do IME/ITA para uma urna muito mais barata com a impress??o do voto(E n??o podemos esquecer com total transpar??ncia na apura????o).S?? podemos conjecturar o interesse pol??tico para manter como esta,com um prov??vel governo das sombras capitaneado  pelo Foro de S??o Paulo por exemplo para prevalecer um governo socialista como j?? ocorre na Venezuela com vota????es atrav??s tb do fraud??vel sistema da Smartmatic,abra??os e obrigado pelo excelente coment??rio!","1"
"","","","UgwlEDJg75N7f26WvNd4AaABAg.8ewS5PpDdJV8exxjhqDQOa","Patrick Oberholzer","1 month ago","1526086413514","N??o vi os c??lculos dos custos comparando o sistema manual  (cl??ssico/com boletim de voto manuscrito) com possibilidade de recontagem dos votos (vc compara a quantidade de boletim de votos depositados na urna cl??ssica contra a quantidade de assinaturas de eleitores no caderno da se????o eleitoral e vc apura 1 por 1 quem foi o candidato votado) versus o sistema de urna eletr??nico acoplado com uma impressora que comporta os seguintes custos : custo de equipamento da urna eletr??nica (custo incide para cada se????o) + impressora especial (custo incide para cada se????o) + o custo de back-up para substituir equipamentos defeituosos (custo rateado nas se????es do Brasil todo) + custo operacional inform??tico que ?? pesado (custo rateado nas se????es do Brasil todo). Acredito que j?? fizeram essa pondera????o nas tais democracias avan??adas as quais me referi anteriormente e chegando a conclus??o que era mto caro introduzir o sistema eletr??nico mantiveram o velho sistema, ?? verdade um pouco mais lento mas nem tanto pois n??o h?? obrigatoriedade de votar nessas democracias;  para mim a obrigatoriedade do voto ?? outra jaboticaba brasileira que n??o deveria existir mas n??o ?? o assunto aqui...","1"
"","","","UgwlEDJg75N7f26WvNd4AaABAg.8ewS5PpDdJV8ez4meBOjkG","aaanjr57","1 month ago","1526086413523","Muito bem Patrick,esclarecedora an??lise,tb n??o vi os c??lculos dos custos,mas vi e coloquei neste canal(https://www.youtube.com/edit?o=U&video_id=Rlk0VbUS70w) ,onde neste v??deo tb ?? esclarecido que os custos n??o s??o um problema para o or??amento destas urnas mais confi??veis com impress??o do voto e de ??ltima gera????o!"
"""ELEI????O FRAUDULENTA DEVER?? SER ELIMINADA. PORQUE ?"""
" POR N??O PERMITA A RECONTAGEM"
"?? preciso explodir o TSE e acabar com toda a justi??a eleitoral!!!!","false","0","","","","","",""
"Fraude com certeza","false","0","","","","","",""
"DESOBEDI??NCIA CIVIL ??:"
"Isso parte do pressuposto que o TSE n??o quer a fraude eleitoral. O TSE realmente n??o quer a fraude?"
"Na verdade temos 11 Ministros no supremo que s??o bandidos da pior especie e eles n??o ouve ningu??m como se o brasil fosse terreiro das putarias deles. E pior n??o d??o ouvido a ningu??m como se ele estivessem acima da lei e da ordem!","false","0","","","","","",""
"O problema mais grave: Um sistema onde o fiscal do processo ?? ele mesmo, o fiscalizado?? (o Pr??prio TSE)? ""Meus m??todos, minha aprova????o?"" A apura????o deve ser 100% auditada: PAPEL vs DADOS da URNA. N??o me importa que o processo seja mais lento e/ou desgastante. Me preocupa muito mais a legitimidade do processo eleitoral como um todo.","true","1","","","","","",""
"","","","UgjpJao_iCCAp3gCoAEC.8V0Xxsho4X68V0meww5ksb","aaanjr57","10 months ago","1502499213388","Ok Ricardo, concordo e ainda bem que tivemos a a????o do deputado Bolsonaro para imprimir o voto permitindo auditoria f??sica da elei????o, muito obrigado por seu coment??rio inteligente e abra??os, AJr.","1"
"?? bem curioso que o molusco se tornou presidente 2 anos ap??s a efetiva implanta????o da famigerada urna. Voc??s n??o acham ?","true","2","","","","","",""
