id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgwoxbG4olCnkZak-zV4AaABAg,henri bulcão,4 days ago,1528418196438,Estranho é Homer votar em Obama...,0,false,0,,,,,,
UgxD1c5XX_ApFyX5bCJ4AaABAg,Victor Henrique Gonçalves,1 week ago,1528158996447,Esse episódio foi feito porque cinco estados americanos chegaram a usar urnas semelhantes às nossas nas eleições. Só não lembro se foi em 2004 ou 2008.,0,false,0,,,,,,
UgxuhZaYedaPg4dWTMB4AaABAg,Thomas Silva,4 months ago,1518395796457,😆😆😆😆😆😆,0,false,0,,,,,,
Ugy-7W4vPfunt8zkAAx4AaABAg,Rodrigues Rodrigues,5 months ago,1515717396462,São as urnas eletrônicas.. tudo fraude... Não votarei sem voto impresso... Agora querem q cadastremos nossas digitais... Aaaaahhh!!! Me ajuda aí ooooôh!!,1,true,1,,,,,,
,,,,,,,,Ugy-7W4vPfunt8zkAAx4AaABAg.8aPkM3WYEo78fidGjjWuTW,francisco das chagas oliveira pessoa,1 month ago,1526085396894,"é isso que os comunistas querem:nos desmotivar para não irmos votar  e por conseguintes, eles elegem os mesmos comunas.Caia na real!",1
Ugy9qBTShIToRTGRibR4AaABAg,cuca beludo,6 months ago,1513038996473,Que episódio é esse?,0,true,1,,,,,,
,,,,,,,,Ugy9qBTShIToRTGRibR4AaABAg.8_njx-oGjKC8bHjn7ftz-Z,PH,5 months ago,1515717396923,"#MonarquiaJá ""A casa da árvore dos horrores"" só não sei qual número.",0
UgzHMAlSqMWnDV1OSTx4AaABAg,marcelo k,6 months ago,1513038996484,kkkk,1,false,0,,,,,,
UgyyFwrKbllvl5Ct_qF4AaABAg,João bosco Jr.,6 months ago,1513038996494,desde que a urna foi usada no brasil,6,false,0,,,,,,
Ugx71blBm03z9634Ey14AaABAg,João bosco Jr.,6 months ago,1513038996503,"alisando esse desenho, ta acontecendo o mesmo no brasil",9,false,0,,,,,,
UgwvSfN9jg9aqvvohHp4AaABAg,Caio Junian,6 months ago,1513038996508,tá e dessa jeito no brasil,7,false,0,,,,,,
UgjDGdQGJpj4sngCoAEC,Caucaia BA,11 months ago,1499819796517,"Essa é a nossa Smartmatik made in venezuela bolivariana.

#BOLSONARO2018",7,true,2,,,,,,
,,,,,,,,UgjDGdQGJpj4sngCoAEC.8U2LbDnz7PB8_nk13QS82K,cuca beludo,6 months ago,1513038996857,Caucaia BA Que episódio é esse?,0
,,,,,,,,UgjDGdQGJpj4sngCoAEC.8U2LbDnz7PB8bEGoM3yooo,O LEGADO,5 months ago,1515717396861,"#MonarquiaJá 


Se toca mano ...

 Ele está sendo irônico sobre a  situação atual da Venezuela e apoio do lula.",0
Ugg7G__bCOCOQHgCoAEC,Roni Souza,1 year ago,1497227796532,Para se pensar (...),3,true,1,,,,,,
,,,,,,,,Ugg7G__bCOCOQHgCoAEC.8SiyJ7RhtqR8_nk-ClcOPw,cuca beludo,6 months ago,1513038996880,Roni Souza Que episódio é esse?,0
