id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgwEoM3N2v_ZeT51zol4AaABAg,Luiz Rodrigues,6 hours ago,1528742981054,boa tarde vc tem ainda esse programa gostaria de obter se possível Obrigado,0,false,0,,,,,,
UgwkSf4S9A3_I87IFk14AaABAg,Barroso 1992,1 month ago,1526086181065,"NÃO QUEREMOS ESSA MERDA, ALIÁS NÃO QUEREMOS ELEIÇÕES, QUEREMOS INTERVENÇÃO!",1,false,0,,,,,,
UgwHGu0zZ4d9y4wBslh4AaABAg,Cairan Oliveira Moura,3 months ago,1520815781075,como você pode provar que esse sistema é idêntico ao sistema da urna?,0,true,2,,,,,,
,,,,,,,,UgwHGu0zZ4d9y4wBslh4AaABAg.8cdzgI8L61t8cxoRnuxojX,Cláudia Fratini,3 months ago,1520815781744,"Cairan Oliveira Moura   Pesquise na internet, quantos países do mundo que tem urna eletrônica e defina por si só, o pq não são usadas em eleições, veja que potências mundiais com tecnologia acanhadíssimas não usam urnas eletrônicas, pq será que diante de tanta tecnologia, mantendo-se no modo arcaico de voto no bom e velho papelzinho?!?
Não sei se tem idade pra isso, mas se tiver pode ter assistido o desenho dos Jetson, uma família do futuro, que a empregada era um robô humanizado, chamado Rose, e não somente cumpria as atividades da casa, como conversava com as pessoas.
Em um dos episódios, Rose, inesperadamente sofre uma pane que causa diversos erros, prejuízos e precisa de manutenção ou ser substituída...
Parece que fiz uma comparação sem sentido!
Mas em resumo, tudo que se refere a equipamentos tecnológicos, são criados e programados por seres humanos... 
Logo... tudo pode ser alterado, excluído, acrescentado, entre infinitas outras funções que possam ser conviniente a quem opera ou contrata os serviços!!

Se tantos bilhões são mencionados no maior desfalque político que foi a lava janto, vc há de concordar que dinheiro não falta e não são trocos que rolam, são milhões que sustentam o sistema que estamos sendo obrigados a viver, nos sujeitando a qualquer tipo de negociações ilegais e fraudulentas como há décadas está sendo realizada com dinheiro público e roubado do povo brasileiro! Pense!!",0
,,,,,,,,UgwHGu0zZ4d9y4wBslh4AaABAg.8cdzgI8L61t8cxot2tIxsr,Cláudia Fratini,3 months ago,1520815781750,E esse é apenas um exemplo entre outros que possam ser criados...,0
UgyHCnVJ-ZG77Uk6UmB4AaABAg,Cairan Oliveira Moura,3 months ago,1520815781096,como você pode provar que esse sistema é idêntico ao sistema da urna?,0,false,0,,,,,,
UgwdL9R-ZfhziwhnIgd4AaABAg,ORDEM MÍSTICA DA PAZ UNIVERSAL,6 months ago,1513039781117,"É uma ingenuidade pensar desta forma, além dos sistemas de segurança, a urna é exaustivamente testada e verificada de várias formas!",1,true,2,,,,,,
,,,,,,,,UgwdL9R-ZfhziwhnIgd4AaABAg.8_KhAggNR4J8_XuMU0e7Xj,Cláudia Fratini,6 months ago,1513039781605,ORDEM MÍSTICA DA PAZ UNIVERSAL   Ingenuidade da sua parte não imaginar que tudo é possível com alguns milhões em pauta. Lava jato te lembra algo??,0
,,,,,,,,UgwdL9R-ZfhziwhnIgd4AaABAg.8_KhAggNR4J8_ZaE1o3iq2,ORDEM MÍSTICA DA PAZ UNIVERSAL,6 months ago,1513039781614,"Eu não estou dizendo que as urnas não são fraudadas, mas estou dizendo que o que o autor do vídeo está apresentando é ingênuo demais para se afirmar que esta é a maneira como a fraude é feita!",0
UgzQm8KcjtwCixuUftN4AaABAg,Oswaldo Leite da Silva Junior,7 months ago,1510447781129,"Pode acontecer sim,basta saber os códigos binários,por isso , são usados dois algarismos para cada candidato!!!
Elas podem sair já do TSE com essa configuração do horário, é curioso !!!
São criadas máscaras de rede ,vc vê uma coisa ,mas o sistema interpreta outra coisa",1,false,0,,,,,,
