id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgyJ3836eC0Oiw67Mad4AaABAg,Antonio Alves Bueno,23 hours ago,1528681219203,Urna eletrônica eu não confio pois os políticos não nos dá confiança nem o supremo não esqueça que o Brasil não são de vocês,1,false,0,,,,,,
UgwdDsYMCdTtIqsNGnF4AaABAg,Rokza Habsburg,2 days ago,1528591219211,TODOS DEVEM PROCESSAR PORQUE ELES NÃO SÃO DONOS DO BRASIL...,0,false,0,,,,,,
UgwnwVdUgW795jU_kMd4AaABAg,Alef Viturino,3 days ago,1528504819245,"Eu sei que o que eu vou falar e idiotice,mas é nessas horas que 
a pessoa pensa em fazer besteira, 
Como por exemplo meter um tiro 
Na testar de um vagabundo, quer entrar na presidência do Brasil um cara como o Lula ladrão 
Entrar na presidência",0,false,0,,,,,,
Ugy57eivrcRZVtlcqVJ4AaABAg,Kato da gantz,4 days ago,1528418419255,Prefiro nem votar então! #Sóvotosetiverovotoimpresso,0,false,0,,,,,,
UgzteLJDEug0LCaLbwN4AaABAg,Sergio Weingartner,4 days ago,1528418419266,Ese governo não tem mais jeito.  É só anular o voto.  É só apertar.asim 000 confirmar.pronto anulou o voto.,0,false,0,,,,,,
UgyAz7oGCyyHR66YOAt4AaABAg,Sergio Weingartner,4 days ago,1528418419271,Ese governo não tem mais jeito.  É só anular o voto.  É só apertar.asim 000 confirmar.pronto anulou o voto.,0,false,0,,,,,,
UgyG80Z6kWd4GaKDGyt4AaABAg,Renaldo Mateus,4 days ago,1528418419280,Se isso acontecer vamos boicotar essa eleição .,0,false,0,,,,,,
Ugy6sMkuVB7GXgZO94N4AaABAg,Marcos Weinfurter,4 days ago,1528418419289,vai mamar na teta do Lula rosinha,0,false,0,,,,,,
Ugy1cy5m2O-njl7W2x54AaABAg,BRASIL Memes,4 days ago,1528418419293,Kkk R.I.P brasil .,1,false,0,,,,,,
UgxCiR92t8PYMYFKpcJ4AaABAg,Nadia Paes,4 days ago,1528418419302,STO É UMA VERGONHA NACIONAL! !!!!!!!!!!!! DECISÕES ERRADAS QUERENDO ACABAR COM O PAÍS!,0,false,0,,,,,,
UgzZZ1hy_nDmrQ4FoUp4AaABAg,Alug & Tok Stúdios,4 days ago,1528418419312,"Vai chegar a hora do STF (Sistema Trambiqueiro Fuleiro) ser julgado pelo STP ( SUPREMO TRIBUNAL DO POVO ) Cuidado DEUSES DA LEI, o povo ta acordando. Voces nao imaginam o perigo que voces e TODOS OS SEUS FAMILIARES irao correr quando houver JUSTICA COM AS PROPRIAS MAOS!!!
Nao havera CANETADA DE FUZIL DE GIGI que se salve.
TODOS IRAO PAGAR....!!!!!",0,false,0,,,,,,
UgwcHrrRBQZb2VouWtd4AaABAg,Rogerio Rosa De Freitas,4 days ago,1528418419316,Vim aqui so pra ver os comentários das bolsonecas kkkkk,0,false,0,,,,,,
UgxhduQEVz3M97sl-Nx4AaABAg,jose belizario,4 days ago,1528418419326,"É simples, ninguém compareça pra votar se nao for com o voto impresso,nao adianta, reclamar pra quem? Nao votem",0,false,0,,,,,,
UgxeAheHF8SOnNWQrYN4AaABAg,Jose Junior Oliveira,4 days ago,1528418419336,O CINISMO impera em todas as instancias Públicas neste país !  CANALHAS é o termo CORRETO para definir o STF !,0,false,0,,,,,,
Ugw6PgaLbBJrPflWDtN4AaABAg,Sivonei Albrecht,4 days ago,1528418419342,Querem salvar o bandido Lula traiodores dá pátria,0,false,0,,,,,,
UgyTAOoCMkrulTQ2dXN4AaABAg,Diego Arejano,4 days ago,1528418419350,"Essa cambada de bandidos está instalada nos três poderes mas, a GRANDE maioria da população está atenta a qualquer tipo de fraude.",0,false,0,,,,,,
UgyaNJ6RPqvEYbYv3814AaABAg,sherlock reis,4 days ago,1528418419359,Cadeia para todos os ministros do STF...,0,false,0,,,,,,
UgzjNx-V7ri7i-iJA5V4AaABAg,odair de oliveira mendes,4 days ago,1528418419364,"Tá aí uma proposta, se um comunista ganhar essa eleição para presidente da República, que o exército entre com uma intervenção militar já, em outubro de 2018, já que eles querem que os eleitores sejam passados para trás com essas urnas eletrônicas fraudulentas , intervenção militar já!!! Porque isso é uma conspiração contra o povo e, contra o Jair Bolsonaro!!!",1,false,0,,,,,,
UgzR6Dka_P8RAiO1X6R4AaABAg,junior fracaro,4 days ago,1528418419373,Brasil vergonha inferno,0,false,0,,,,,,
UgzwpKv5N9eNqoHMkZt4AaABAg,EDUARDO RODRIGUES,4 days ago,1528418419381,Urna eletrônica e fraude quem não sabe disso lula vai ganhar sem nem candidatar,0,false,0,,,,,,
Ugx7C4ysS6wwiLxqkd54AaABAg,adailton teixeira,4 days ago,1528418420327,"OS TRÊS PODERES E ATÉ AS FORÇAS ARMADAS, ESTÃO TODOS A CIMA DA LEI, OU SEJA TODOS ESTÃO COMPROMISSADOS PARA GARANTIR O SISTEMA DE ESQUERDAS COMUNISTAS DESTRUIR A NAÇÃO BRASILEIRA!!!",0,false,0,,,,,,
UgxquAFSQLgYMbGrutN4AaABAg,Joao Alexandre Cavalcante Neto,4 days ago,1528418420330,"Segundo Comando da Capital, pois o Primeiro todos conhecem ...",0,false,0,,,,,,
UgzSxPacqsGrLLFV_hR4AaABAg,adailton teixeira,4 days ago,1528418420339,"GENTE! SÓ O SENADO FEDERAL PODE IMPITIMAR ESSES VAGABUNDOS COMUNISTAS DO  STF,  E  TSE,  MAIS PORQUE NÃO FAZEM? COM CERTEZA TEM COMPROMISSO COM O SISTEMA OU SEJA RABO PRESO!!!",0,false,0,,,,,,
UgyC6R1PTxvRt3BTPt54AaABAg,Claudio Barbosa,4 days ago,1528418420348,"Fazer o seguinte então
Campanha WhatsApp
Marquem no status e coloquem foto de perfil a seguinte frase
#VotoImpressoJá!!!",0,true,1,,,,,,
,,,,,,,,UgyC6R1PTxvRt3BTPt54AaABAg.8hBnqFHifnA8hGuCUPvK04,Santana Junior,2 days ago,1528591220802,"Claudio Barbosa O que vai acabar acontecendo neste país é a formação de milícias de objetivos patrióticos. Porque o Brasil está nas mãos de uma quadrilha que sequestrou as leis ao seu favor. Logo, o que pode um cidadão de bem fazer?",0
UgxIDuAMbRgBoJLVNzh4AaABAg,marcos araujo,4 days ago,1528418420354,O que é. CANHALHAS? ??,0,false,0,,,,,,
Ugw-8xoAXwtBA6nc0t54AaABAg,Luiz Carlos Fernandes do Nascimento,4 days ago,1528418420362,"Democracia de MERDA essa do nosso país.  É isso
 que o povo pediu?  Aí está.  Eles debocham do povo.  Só aparece dinheiro para incrementar suas mordomias.  Vergonha!!!!!!",0,false,0,,,,,,
UgzeF3jxsAS5Eiq69m14AaABAg,Fatima Junqueira,4 days ago,1528418420371,"E samos todos amém! Se nois unirmos todos os brasileiros, pagamos a multa, e não, compareceremos as urnas? Se tivermos união para salvar o, nosso país, eles não são mais forte do que nos o povo!!! Terão que convocar novas eleições, com outros candidatos, se for com as urnas eletrônicas, não comparemos também. Com união e amor ao nosso país venceremos, já que as forças armadas não pode? Podemos nois",0,false,0,,,,,,
Ugx9dqPK-fl4i4zyt7x4AaABAg,wilker salomao de oliveira,4 days ago,1528418420376,Supremo de merda....,0,false,0,,,,,,
Ugy883D_DIVizraJrb94AaABAg,Júlio César Oxley Fonseca,4 days ago,1528418420384,"BRASIL A NAÇÃO MAIS RICA DO MUNDO 
SIM, MAS O POVO POBRE EM SUA GRANDE MAIORIA E CONFORMADO COM AS 
MIGALHAS SUADAS E CONQUISTADAS COM MUITO TRABALHO NÃO SABE E TAMBÉM 
NÃO IMAGINA QUE A PÁTRIA SERÁ DOMINADA E DIVIDIDA POR POTÊNCIAS INTERNACIONAIS. 

O POVO POR SUA CONDIÇÃO, ACOMODADO, DESINFORMADO E ALEGRE DE 
SAMBA E CHACHADO, CACHAÇA E FUTEBOL É DESORIENTADO COMO ABELHAS
NA FUMAÇA,
 É GADO CONDUZIDO A UM ABISMO SEM VOLTA.

E ASSIM DOMINADOS COM FOME, SEM SAÚDE, SEM SEGURANÇA E SEM O NORTE 
NOSSAS RIQUEZAS SERÃO OFERECIDAS E DIVIDIDAS POR NOSSOS ALGOZES 
DOMINANTES.  EM TROCA NOS DARÃO ALGUMA COMIDA, CONTINUAREMOS TRABALHANDO PARA ELES E CONFORMADOS COM A RAÇÃO RECEBIDA. 

CONTAREMOS PARA NOSSOS FILHOS E NETOS ESTA PARTE DA HISTÓRIA, 
QUE FOMOS COVARDES, QUE FICAMOS DE JOELHOS, QUE NOSSO EXÉRCITO NOS 
TRAIU E QUE ENTREGAMOS O SOLO MAIS RICO DO PLANETA SEM NENHUMA LUTA ???
OS MILITARES DO ALTO COMANDO JÁ SE DECLARARAM SUBMISSOS E CONIVENTES
AO GOVERNO E A DITADURA COMUNISTA QUE ESTÁ AÍ E PORISSO JÁ SABEM QUE ALGO TERRÍVEL VAI ACONTECER COM NOSSO PAÍS E ASSIM PREPARAM-SE NA MAIOR CARA DURA PARA DEFENDER O IRRACIONAL, UMA NAÇÃO VERMELHA IDEALIZADA POR 
MENTES TORTAS E DOENTES.

QUEREM, SABE LÁ A QUE CUSTO TRANSFERIR:
AS MAIORES RESERVAS DE ÁGUA DOCE DO MUNDO – DO POVO POBRE PARA QUEM ?
AS MAIORES JAZIDAS MINERAIS DO MUNDO – DO POVO POBRE PARA QUEM ?
95 % DO NIÓBIO DO MUNDO – DO POVO POBRE PARA QUEM ?
GRAFENO US$ 1 TRILHÃO DE DÓLARES EM 10 ANOS – DO POVO POBRE PARA QUEM ?
ENTRE OS 5 MAIORES EM PRODUÇÃO E RESERVAS DE FERRO, MANGANÊS, BAUXITA, SILÍCIO, OURO, PETRÓLEO, etc... – DO POVO POBRE PARA QUEM ?
A MAIOR EXTENSÃO EM SOLO FÉRTIL DO MUNDO – DO POVO POBRE PARA QUEM ?
AS MAIORES FLORESTAS NATURAIS DO MUNDO – DO POVO POBRE PARA QUEM ?

ENTÃO VEJAMOS: 
COM TODA MOBILIZAÇÃO DO EXÉRCITO EM PRONTIDÃO EM PONTOS ESTRATÉGICOS, COMBOIOS PRA LÁ E PRA CÁ, ETC... /// ESTARÃO ESTES CANHÕES APONTADOS PARA 
O POVO BRASILEIRO /// ???
CLARO QUE NÃO !!!   ENTÃO QUAL É O MOTIVO DESTA PARAFERNALHA TODA ???",0,false,0,,,,,,
Ugwe9aUNcIIS1KdMbx54AaABAg,Antonio,4 days ago,1528418420390,Republiqueta de bananas.,0,false,0,,,,,,
UgyNBIlRe-f-L9V0J5J4AaABAg,joel Pimentel,4 days ago,1528418420399,STF NÃO ESTÁ A SERVISSO DO BRASIL ESTÁ A SERVISSO DO DEMÔNIO,0,false,0,,,,,,
Ugz8KbyUCQU7cQn0wLd4AaABAg,Alves e Silva Cerimonial e Eventos,4 days ago,1528418420408,"Melhor gastar 2 bi agora que sermos eternamente enganados né e essa atual urna e modelo lesivo e nada mais! .
tenho uma ideia brilhante, 
sem comprovante. ....
sem voto !
tá resolvido, 
pague $3,00 de multa um dia e livre-se de pagar o resto da vida .",0,false,0,,,,,,
Ugyzaw0pNaH8nF08QY54AaABAg,Roberto Leonel Silva,4 days ago,1528418420416,A FRAUDE NAS URNAS ELETRÔNICAS É A ÚNICA CHANCE DA ESQUERDA.,0,false,0,,,,,,
UgxREVEiUiVGBZFRmHZ4AaABAg,Antonio,4 days ago,1528418420424,"Sempre fomos feitos de besta , mas agora tá de mais, estão fazendo com o Brasil o que Maduro está fazendo com a Venezuela. Os  três poderes estão maculados.",0,false,0,,,,,,
UgyVZlMCALqnKpGZtLN4AaABAg,Gil Avilla,4 days ago,1528418420432,Apesar quem manda nesse pais quadrilha do beicola gilmar mendes quando se fala em limpar esse pais com um intervenção civica e militar dizem que loucura,0,false,0,,,,,,
UgxvyjK07oaHqAyFYod4AaABAg,Carlos Augusto,4 days ago,1528418420438,"Bando dr pilantras, canalhas...",0,false,0,,,,,,
Ugzvlgtd6f5RlV2jV1h4AaABAg,Carlos Augusto,4 days ago,1528418420444,"Escória do Brasil , esses ministros ,se acham acima da constituição, ao invés de defender ,cagam ,rasgam a constituição, bando de FILHOS DAS PUTAS...",0,false,0,,,,,,
UgxDplWTYrTAsutMTTB4AaABAg,Shirley Mendonça,4 days ago,1528418420452,"Hoje tem marmelada?Tem sim senhor!!Hoje tem goiabada?Tem sim,senhor! !!E o palhaço?Quem é? É o povo! !!!",0,false,0,,,,,,
UgzTl5FpPuzAlRPSR1l4AaABAg,Anblick Fur Dich,4 days ago,1528418420458,"Boicote às urnas! Vamos votar cedo e levar um Superbond e colocar nas teclas. Não queremos máquinas, não queremos impressoras.
VOTO NO PAPEL!",0,false,0,,,,,,
UgwT_Rcko0TyQ_p5omJ4AaABAg,Paula Machado,4 days ago,1528418420467,STF contra o povo. Uma vergonha o que acontece no Brasil.,0,false,0,,,,,,
Ugy15vdLH2xK9FpzoZV4AaABAg,Jose Goncalves de Carvalho Goncalves,4 days ago,1528418421682,Supremo tribunal federal (STF) é  da Venezuela ou de Cuba..,0,false,0,,,,,,
Ugx-BW_pekqgrVl6PFF4AaABAg,Sigmar Emilio Girotto,4 days ago,1528418421694,"O povo brasileiro é igual a mulher de malandro. Qto mais apanha, mais quer apanhar. Um povo alienado em sua própria ignorância. Só está faltando colocar coleira, pois banando o rabinho já faz tempo que estão fazendo. Lamentável!!!",0,false,0,,,,,,
UgwyXIiyoCmJcma5W314AaABAg,Alcione Pereira,4 days ago,1528418421704,"ENQUANTO A POPULAÇÃO NÃO INVADIR OS TRÊS PODERES E TIRAR ESTES LADRÕES DAI NADA DE BOM VAI ACONTECER.
FFAA TRAIDORES.",1,false,0,,,,,,
UgyQMacL5qZzNU-KQ_F4AaABAg,karmem barboza,4 days ago,1528418421715,"Ministros dizem que vai gastar 2 bilhões. Quantos bilhões eles deixaram roubar do nosso BANCO 
BNDS. QTOS BILHÕES DERAM PARA A VENEZUELA, BOLÍVIA, CUBA, ÁFRICA E OUTROS. 
Qto gastaram para reformar o estádio Mané Garrincha?
ISTO É UMA VERGONHA !
Quero VOTO IMPRESSO JÁ",0,true,1,,,,,,
,,,,,,,,UgyQMacL5qZzNU-KQ_F4AaABAg.8hBWyam9Jcm8hGuNkzVhJl,Santana Junior,2 days ago,1528591222124,"karmem barboza Pois é Karmem. Todos os países do mundo que usam sistema eletrônico para votação adotaram o registro impresso, para uma possível auditoria.",0
UgzFwNvohL1dSZYVLgR4AaABAg,Daniel Filho,4 days ago,1528418421728,Como dizia Boris Casoy tá tudo dominado,0,false,0,,,,,,
UgyFJGbQamVASFeb54p4AaABAg,Daniel Filho,4 days ago,1528418421760,"Botaram no copinho da direita. Kkkk, aí o exército vai trabalhar na conferência e lembramos que o vilas boas é comuna tamos fudidos",0,false,0,,,,,,
UgzfPAP4uumRqx-JspR4AaABAg,Ricardo Machado,4 days ago,1528418421771,"ATENÇÃO;
A CULPA DE TUDO O QUÊ ACONTECE NÓ BRASIL SÓ TÊM UM NOME CHAMASSE GENERAL VILLAS BÔAS,ELE FAZ PARTE DO ESQUEMA DE CORRUPÇÃO,ELE É BANDIDO IGUAL AOS OUTROS.",0,false,0,,,,,,
Ugzej16kltUlHD5pD294AaABAg,Marcelo Victo,4 days ago,1528418421779,"Isso é uma manipulação para ter o proximo candidato eleito por eles que ja estao no poder. Voto no papel é o correto , por que EUA, RUSSIA E ETC continuam no papel",0,false,0,,,,,,
Ugxa6zqd3iLQbB2NiOl4AaABAg,José Silvio,4 days ago,1528418421790,#fechamentostf,2,false,0,,,,,,
Ugy3gyJ_vlxUpSJOwhR4AaABAg,Isaqueu Felizardo,4 days ago,1528418421800,Esses aí sai tudo sáfado  tudo corruptos  esses lixo apóia os corruptos,0,false,0,,,,,,
UgxPDkCc0vjqjMcvPFF4AaABAg,Osvaldo Spineli,4 days ago,1528418421810,"BANDO DE SEM VERGONHA,PILANTRAS,SÓ ESTÃO ATRAPALHANDO O CRESCIMENTO E DESENVOLVIMENTO DO BRASIL....",2,false,0,,,,,,
UgwYyxBw3WNmYoYWrCp4AaABAg,Luciano Rotolo,4 days ago,1528418421818,os velhos NAO saberao votar eletronicamente...nem aqui na italia tem voto eletronico,0,false,0,,,,,,
UgyAThDzgPFNRgZduzZ4AaABAg,HCBBR66,4 days ago,1528418421826,#votonulo,0,false,0,,,,,,
UgxxbTxSPzOsLynqkF54AaABAg,José Cruz,4 days ago,1528418421833,"estes canalhas estão pedindo a Intervenção Militar,mas os Militares covardes não assumem",1,false,0,,,,,,
Ugx3vPeAYhZ3BnQ3dBN4AaABAg,Kevin Vieri,4 days ago,1528418421838,"Era de se esperar desse STF  , já que boa parte deles ganham milhões de propina , dinheiro de empresários , voto impresso é algo que pode mudar toda uma rede de corrupção nas eleições , isso eles jamais vão aceitar ,porque esse grupo de pessoas com pensamentos esquerdistas , sempre vão defender as coisas erradas , OAB é outra instituição lixo onde são comprados para defender sujeitos lixos da sociedade, nojo dessa corja imunda do STF , nunca acreditei nessa tal lei brasileira .",0,false,0,,,,,,
Ugwq9erGfhcZgjwtBet4AaABAg,Marcelo elmescany,4 days ago,1528418421846,"E , esse é o Brasil !",0,false,0,,,,,,
UgzHkioJ-FxE_bwhDhl4AaABAg,Lucia Moreira,4 days ago,1528418421852,"O Brasil, não tem mais jeito, estamos no fundo do poço",0,false,0,,,,,,
UgzMvf6p0dLpBMb34VN4AaABAg,Vitor Mendes,4 days ago,1528418421859,"Esse bando de urubus não pode ser chamado de suplema cortte já mais, nessa urna não voto mesmo, vou justificar, assim terei certeza que ninguém vai aproveitar meu voto, bando de canalhas, interesseiros.",0,false,0,,,,,,
UgxzMsp_pmgjDEUKACp4AaABAg,Sandra Oliveira,4 days ago,1528418421867,"Bando de corruptos, este STF foram plantados lá no supremo para perpetuarem com esta corja de ladrões do povo Brasileiro ,vamos povo Brasileiro temos que fazer algo nós somos maioria.",0,false,0,,,,,,
Ugx0HRH6ya8Y18IApDx4AaABAg,Margarete Farias,4 days ago,1528418421874,Onde estão as forças armadas ?,0,false,0,,,,,,
UgwEi2ZJcVeX1pjEn7t4AaABAg,Paulo Roberto Aguiar,4 days ago,1528418422873,"Eu estou cansado de saber que eles não iria concordar com isto,é e vem mais coisas aí pro Bolsonaro não ganhar as eleições é só aguardar .",0,false,0,,,,,,
UgzNR3J6bnjER-pj0iZ4AaABAg,GJAF 77,4 days ago,1528418422882,O ultimo recurso é a violência diante da hipocrisia.,0,false,0,,,,,,
UgzTitZ3PmkInayHsHh4AaABAg,Rosinete Duarte,4 days ago,1528418422892,Não sei do que o STF  e a procuradora da república Raquel dogle tem medo?,0,false,0,,,,,,
Ugw_gq1CjhEb5QiidJZ4AaABAg,Veralu Seabra,4 days ago,1528418422896,"Preparação para manipulação do voto, isto ficou bem claro. Isso se chama ARAPUCA. 😠😠😠😠😠😠😠😠😠😠😠😠",1,false,0,,,,,,
UgyJXzc-7Rn1OIo2g4d4AaABAg,Iracema R.S,4 days ago,1528418422906,"joaquim aquim CONCORDO.  
O     S U P R E M O  T R I B U N A L  F E D E R A L é a MAIOR VERGONHA DO PAÍS. . SE NINGUÉM FOR AS  URNAS FRAUDADAS  TALVEZ SEJA O   D I A  E M Q U E O BRASIL P A R O U.  QUEM SABE CABEÇAS PENSANTES DO POVO ( NÃO DO GOVERNO PORQUE A DELES É OCA. SÓ AGEM) SE USARMOS  MAIS DOS 10% CHEGA À UMA SOLUÇÃO? DE TODA MANEIRA TENTADA POR ELES NÃO DÁ CERTO. NÃO SERÁ AGORA. NÃO DESPERDICEMOS NOSSO SNC. FAÇAMOS U S O  DELE. É TRABALHAR..",0,false,0,,,,,,
UgyW03ywuKFvFWfYI7d4AaABAg,Dark Faint,4 days ago,1528418422915,"Praque esse raio de sigilo tbm,? Eu vou votar no bolsonaro. Porra",0,false,0,,,,,,
