id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgyIMqTBtKkGYjh9LuV4AaABAg,pedross64,2 months ago,1523494968128,"""ELEIÇÃO FRAUDELENTA DEVERÁ SER ELIMINADA. PORQUE ?""
*A VOTAÇÃO é SECRETO, mas a CONTAGEM NÃO. ASSIM o VOTO IMPRESSO como fica ? TAMBÉM NÃO !!! O SINCRONISMO ENTRE AS INFORMAÇÕES entre VOTO IMPRESSO e TOTALIZADORES LOCAIS devem ser mantidos SECRETOS, e entre os TOTALIZADORES FINAIS ser NÃO SECRETOS. ENTRETANTO A CONTAGEM ATUALMENTE É EFETUADA DE MODO TOTALMENTE SECRETO, PERMITINDO A FRAUDE, POR NÃO PERMITA A RECONTAGEM, A AUDITAGEM !!!
ONDE POSSA SER EFETUADA A TOTALIZAÇÃO FRAUDULENTO ? NAS URNAS, SÃO MUITO LENTO E QUANTIDADE MUITO PEQUENA PARA INFLUENCIAR A CONTAGEM !!! MAS ATENDA PARA AUDITAGEM !!!
A TESTE DE INVASÃO DAS URNAS PELOS ""ESPECIALISTAS"" CONVIDADOS  FOI DE EXTREMA ABSURDO. COMO FOI EFETUADA a TRANSMISSÃO (Wi-Fi, pen drives etc), os CONCENTRADORES e os  TOTALIZADORES e outros. A SEGURANÇA (INTERCEPTAÇÃO  E INJEÇÃO) DEVE SER MANTIDA RIGOROSAMENTE EM TODOS OS ESTÁGIOS. PORTANTO É DE EXTREMA IMPORTÂNCIA A ATUAÇÃO INTEGRADA DE SOFTWARE E HARDWARE DE CADA ESTÁGIO QUE PODERIA PERMITIR A FRAUDE. TODAS AS UNIDADES TOTALIZADORES FINAIS DEVEM ESTAR NO TERRITÓRIO NACIONAL.
SE A ELEIÇÃO FRAUDELENTA CONTÍNUE ENTÃO DEVE SER CONSIDERADA NULA, JÁ QUE PERMITA DECRETAÇÃO DE REGIME CONTRÁRIO A MAIORIA ABSOLUTO DA POPULAÇÃO BRASILEIRA POR ATENDER ARTIGOS 1 E 14 DA CONSTITUIÇÃO FEDERAL BRASILEIRA, CRIMINALMENTE.
PORTANTO, A VOTAÇÃO EM PAPEL COMO ANTIGAMENTE É MUITO MAIS SEGURO, POR ISSO CONTINUA SER UTILIZADA NA MAIORIA DOS PAÍSES DEMOCRÁTICAS DO MUNDO.
DEVE SER OBSERVADO RIGOROSAMENTE O INÍCIO DE CONTAGEM SIMULTÂNEA APÓS ENCERRAMENTO TOTAL DA VOTAÇÃO NO TERRITÓRIO NACIONAL.*
IMEDIATA INÍCIO DE AUDITORIA TÉCNICA INTEGRADA HARDWARE-SOFTWARE DO SISTEMA ELETRÔNICO DE VOTAÇÃO ATUAL PARA DETECÇÃO DAS IRREGULARIDADES, E AS PROVIDÊNCIAS A SEREM TOMADAS.",0,false,0,,,,,,
UghztuVt5tCSUngCoAEC,Gabriel Henrique,2 years ago,1465693368139,"É um equipamento ultrapassado (muito fácil de hackear). Vários países sérios como por exemplo os EUA se recusaram a utilizar urnas eletrônicas por falta de confiabilidade, pois é muito fácil fraudar os votos. Em alguns países as urnas eletrônicas viraram piada. Só mesmo no Brasil. Aliás, um prato cheio pra políticos corruptos, que é o que não falta no Brasil. Vai dificultar as fraudes, porque permite uma auditoria confiável. Você vota na urna eletrônica, e ela imprime um comprovante, que após confirmação, cai direto na urna física. O eleitor não pode levar o comprovante, nem tem acesso (esse é o problema). O resultado das urnas eletrônicas pode ser confrontado com o resultado dos comprovantes de papel. Não impede uma fraude, mas dificulta.",1,false,0,,,,,,
Ugj6jwvd3yHjlHgCoAEC,Ordem e Progresso,2 years ago,1465693368143,"Além do voto impresso, gostaria que os deputados colocassem uma tecla na urna eletrônica com a opção de ""GOVERNO MILITAR"".",3,false,0,,,,,,
Ugg2-PN_fYLZDXgCoAEC,Júlio César,3 years ago,1434070968152,FIM DAS URNAS ELETRÔNICAS.,8,false,0,,,,,,
Ugh-VfAEYbXdkXgCoAEC,observador777,3 years ago,1434070968162,"Temos que ir para a frente dos quartéis exigir que seja feita uma intervenção militar (feita por patriotas)! O alto comando tem silenciado deixando parecer que estão em conluio. Dessa forma temos que ir para frente dos quartéis pressionar eles, constranger quem está segurando as FFAA, incentivando os patriotas lá dentro a tomarem a dianteira, e mostrando qual é a real opinião pública sobre isso. 
A grande maioria da população brasileira, a classe média, apoia uma intervenção militar já, só o que falta é uma liderança que organize e direcione os esforços para isso. TEMOS QUE IR PARA A FRENTE DOS QUARTÉIS EM GRANDE NÚMERO EXIGIR!!! Os patriotas estão esperando por isso, e os melancias estão com medo de que isso ocorra, por isso têm inventado outras coisas para desviar o foco.

PS: tenho conversado com diversos trabalhadores, domésticas, frentistas de postos de combustível, lavadores de carro, garis, motoristas de ônibus... todo trabalhador, tenha a renda que tiver, está muito PUTTO com esse regime bolivariano.",2,true,3,,,,,,
,,,,,,,,Ugh-VfAEYbXdkXgCoAEC.8-f3Rre0Qqs7-f9__ikqRy,Ed Marine,3 years ago,1434070968526,+observador777 Cê tá é maluco!!!,0
,,,,,,,,Ugh-VfAEYbXdkXgCoAEC.8-f3Rre0Qqs7-gUkUjmUiW,observador777,3 years ago,1434070968530,+ed marine Pra vocês esquerdistas certamente sim! Mas seus dias de farra estão para acabar!,0
,,,,,,,,Ugh-VfAEYbXdkXgCoAEC.8-f3Rre0Qqs74lfj4B8rSQ,Verde e Amarelo,2 years ago,1465693368538,"+ed marine nao esta nao, se nos tivessemos instituicoes solidas este povo ja estaria na cadeia, o PT acabou com as nossas instituicoes, a revolucao militar de 64 aconteceu justamente por causa das guerrilhas que cuba financiava e treinava no Brasil, eu vivi toda a ditadura militar, tinhamos saude, seguranca e educacao, somente os guerrilheiros nao gostaram, mesmo a esquerda tinha varias revistas que circulavam livremente, ou voce nunca ouviu falar de pasquim, a USP era infestada de comunista, os militares deveriam sim ser mais severos, e nos nao estariamos na mao destes PTralhas hoje, temos que recomecar nossas instituicoes pois estao completamente aparelhadas.",0
UggUWfvxKmBrYngCoAEC,Pedro Caldas,3 years ago,1434070968176,Um dia haveria de sair palavras decentes desse cara. As eleições no Brasil são uma fraude. Eu não sei quem venceu em 2014 para presidente até hoje.,0,true,1,,,,,,
,,,,,,,,UggUWfvxKmBrYngCoAEC.8-dKG-P2cFu70vpBYUcskA,Hank Moody,2 years ago,1465693368550,+André Teixeira Ele deve assistir televisão onde editam tudo...,0
