id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgwyYXDyLkx-J9KKCJB4AaABAg,Marcos Porto,21 hours ago,1528689613280,Nao adianta urna moderna e alta segurança se todos os politicos que estao disputando ja sao todos eles corruptos e alias tem q passar por aprovação do TSE q eh mais corrupto que todos .. ou sej nao adianta nada ..,0,false,0,,,,,,
UgzHsBa6eJxacZA_9YV4AaABAg,Rafael Oliveira Da Silva,2 months ago,1523494813294,grande bóstita,0,false,0,,,,,,
UgxyZnzyNyKlAboaC-14AaABAg,Maria Santos,2 months ago,1523494813301,"Não basta a urna ser segura a lei da ficha suja ten que valer para o candidato e também para o eleitor.Quer votar ,comporte se.",0,false,0,,,,,,
Ugw2-0jp1O9_7l8tOMx4AaABAg,Nilson Souza,2 months ago,1523494813303,"Ponto crítico, será que quando for fazer a contagem, o programa não beneficia este ou aquele partido?",0,false,0,,,,,,
Ugz4duAlnS0H5dhMChF4AaABAg,moira adriana silva pereira,3 months ago,1520816413311,Ainda e falho este sistema se pra conferir tem que visualisar de novo na maquina pode aver tapiação. Eu prefiro que tenha ao lado da urna uma maquina registreadora que nein aquelas de supermercado mostrando pra onde meu voto foi e uma caixa ao lado pra eu colocar o papel ai no final do dia eles contão os votos da caixa e conferem se e igual ao que aparece na urna e e claro uma camera filmando ao vivo o contador fasendo seu trabalho. Isso sim e transparencia viu.,0,false,0,,,,,,
UgyDnBLI8OeffjSEFSR4AaABAg,Rocambole Chocolático,3 months ago,1520816413318,"Eleitores, não nos esqueçamos que nas próximas eleições vão ser vários itens para votar: deputado, governador, senador, presidente. No nosso país os eleitores já fazem uma ""lambança"" na cabine e a fila aumentando lá fora, imagine com um sistema demorado então! Tem que levar refeição e almoçar na corredor pra não perder o lugar na fila!!!!",0,false,0,,,,,,
Ugwj7kx2PjuvGC3GCvd4AaABAg,Johni Carmona,4 months ago,1518397213325,"Nao seria mais facil e rapido votar do modo tradicional, simplesemte colocando a folha do candidato na urna, nao vi nenhuma vantagem nese sitema tem que fazer as duas coisas, e depois recontar manualmente.",0,false,0,,,,,,
UgwfsofN7JUXSMBSQgp4AaABAg,van,5 months ago,1515718813334,O Brasil comunista desgraçado... Ate na urna eles roubam.,0,false,0,,,,,,
Ugzc6-RELWR5l7ymVL14AaABAg,Divino Santana,5 months ago,1515718813338,Isso bem seguro gostei.,0,false,0,,,,,,
UgyUXUHmse35GSitztp4AaABAg,Calasans Freitas,6 months ago,1513040413346,"Urnas que não imprime o comprovante de votação, com todos dados, tanto do eleitor como dos candidatos para que o eleitor leve pra casa... Não da pra confiar.",0,false,0,,,,,,
UgxixZ9LS0VGhkB4KlB4AaABAg,Ricardo D,8 months ago,1507770013354,"Se a maioria dos brasileiros acham que os políticos são todos corruptos. Por que se importam com essa FRAUDE ÓBVIA das urnas eletrônicas brasileiras?
Se o TSE quisesse eleger DE VERDADE quem o povo elege, não usava essa tralha de m***@ que não é usada em nenhum outro país.",0,true,2,,,,,,
,,,,,,,,UgxixZ9LS0VGhkB4KlB4AaABAg.8YMOcJ5UcFG8Z9F69tvKXl,Mr Thurl3r,7 months ago,1510448413669,Ricardo D Mas essa urna é usada somente no BRASIL E VENEZUELA AINDA POR CIMA. Os brasileiros deviam ficar todos sem votar pq se VC vota nulo a maquina diz q vota no Lula se VC votar no Bolsonaro a maquina vota no Lula. Enfim essa maquina é uma merda,0
,,,,,,,,UgxixZ9LS0VGhkB4KlB4AaABAg.8YMOcJ5UcFG8ZAwNzsBKUT,Ricardo D,7 months ago,1510448413675,"Concordo, Mr. Thürler, mas a urna venezuelana é muitíssimo superior à brasileira. Os venezuelanos acabam sabendo com relativa certeza que a eleição foi fraudada, embora isso não impeça que o governo declare um falso vencedor.
As urnas brasileiras são muito piores, quando há fraude muito poucos percebem a fraude e, mesmo que quisessem recontagem, isso é impossível.",0
UggKXOL8IjJDIngCoAEC,"Aurea Agah, Rio",11 months ago,1499821213361,Lembrando: as urnas eleitorais usadas no Brasil são venezuelanas...,9,false,0,,,,,,
Uggok07kyogHrngCoAEC,pilotoArtur Rabelo,11 months ago,1499821213368,ARGENTINOS SUPERANDO BRASILEIROS !!!! PARABÉNS POVO ARGENTINO !!!,0,false,0,,,,,,
UghSnElQeRLtIHgCoAEC,Itamar Colimódio Esteves,11 months ago,1499821213375,"Passa pela sua cabeça, que o excelentíssimo senhor ministro gilmar mendes, presidente de um tal TsE (s minúsculo porque essa casa deixou de ser Superior) ousaria indicar/propor o uso de uma ferramenta que traga segurança aos eleitores (que continuam votando obrigatoriamente) em detrimento da sacanagem dos políticos corruptos? Eu penso que não, o ministro ainda não ficou louco.",0,false,0,,,,,,
Ugj4skB2fw23JHgCoAEC,Samanta Persotti,1 year ago,1497229213381,"NENHUM  SISTEMA  DE  COLETA  DE  VOTOS  DARA'  CERTO  NO  BRASIL,  COM  OS  COMUNISTAS  Q   AI'  ESTAO.  ESQUEÇAM.  LIMPEZA  GERAL> INTERVENÇAO  MILITAR.",2,false,0,,,,,,
UgjmZaqNOynEdngCoAEC,Hipolito Augusto,1 year ago,1497229213388,"..A URNA ELETRÔNICA DA SMARTMATIC É SINÔNIMO DE FRAUDE ELEITORAL JUNTAMENTE COM OS PROSTITUTOS DE PESQUISA...
..#INTERVENÇÃO e TRIBUNAL MILITAR JÁ!",5,true,1,,,,,,
,,,,,,,,UgjmZaqNOynEdngCoAEC.8T0shZxg7GW8Z9FFuErpzh,Mr Thurl3r,7 months ago,1510448413747,Hipolito Augusto Intervenção militar? Como? Se aqueles lixos de soldados vendem a Bundinha pro governo? AFF esse país tá kDa vez pior😢😴,0
Ugj3FbEWTU6f23gCoAEC,Anna Maria de Queiroz,1 year ago,1497229213398,"NECESSÁRIAS AUDITORIAS DOS VOTOS ELEITORAIS.CORONEL ÊNIO FONTENELLE, ENTRE MUITOS OUTROS ESPECIALISTAS, CHAMOU A ATENÇÃO PARA A NECESSIDADE DE NÃO USARMOS AS URNAS SMARTMATIC DA VENEZUELA. OS ARGENTINOS TROCARAM A SMARTMATIC (QUE NÃO É ACEITA EM NENHUM PAÍS DO MUNDO, SÓ AQUI).https://youtu.be/d0T2wphnY9Q",2,false,0,,,,,,
Ughpx_HXz8bZBngCoAEC,Jonathan Rodrigues,1 year ago,1497229213405,"O brasileiro na verdade tem que saber o quer, exemplo votou na Dilma aí deu o que deu a Dilma saiu, o cidadão fala que não votou mas ele sabe que votou nela, e sai falando mal da urna horas, será que a urna também registra hipocrisia das pessoas como forma de voto, estou satisfeito com a nossa urna como esta no Brasil nunca se tem muito sucesso em processos grandes de transição de qualquer tipo, imagine como seria o transtorno trocar todas as urnas por esse sistema, até o governo disponibilizar e adquirir o suficiente para todas cidades a eleição seria fraudada o famoso ditado melhor um pássaro na mão do que dois voando, é isso.",0,false,0,,,,,,
UggmZ3Hv872EfXgCoAEC,Bruno campos,1 year ago,1497229213410,melhor do que o dinosauro brasileiro,0,false,0,,,,,,
UggNE4FRHjjReXgCoAEC,michael hendric espada souza,1 year ago,1497229213415,"Que dizer desse invento? 
#DESNECESSÁRIO E irrelevante, não faz sentido nenhum ter um invento como esse. O uso da tecnologia se dá justamente pela otimização de tempo e segurança. E tudo que essa máquina não tem é agilidade e segurança,  o cidadão passa pelo mesário, inseri um ticket 🎫 na urna, Acessa centenas de menus,  vota,  espera pela lenta impressão, retira o ticket, recoloca na urna para conferência, após conferido retorna ao mesário para reconferencia (humana) depois deposita em uma urna saindo de mãos vazias sem nenhuma comprovação física só que ali foi feito. Resumindo tamanha perda de tempo,  no mínimo cada cidadão gastará 5 minutos para todo esse processo, segurança zero a Urna não memoriza Nada do que se foi feito, na realidade o voto continua manual apenas passa por um processo burocrático, e após todos esses processos burocráticos e inútil sai de mão vazias. 
O que vi nesse Vídeo foi apenas o prazer do Brasileiro em desfazer de tudo que se é inventado aqui e valorizado todas as merda que os outros inventam,  até os lixos inventados pelo vizinho  exemplo dessas Urnas eletrônicas são melhores que os inventados aqui.",2,false,0,,,,,,
