id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgwprwAI9zSVYe7sy3p4AaABAg,Romeu Martin,3 months ago,1520815834275,Com urna eletrônica ninguém vai votar,0,false,0,,,,,,
UgwRs5iPbhajRUW3q8F4AaABAg,luis ricardo,3 months ago,1520815834288,Tem que existir um Pablo Escobar nesse país pra acabar com esses políticos vagabundos.,0,false,0,,,,,,
UgxXNwW13ltjcLZyx6h4AaABAg,NC C,7 months ago,1510447834300,"Olhem ai a fraude comunista na Venezuela:
https://www.youtube.com/watch?v=VVciaFHE-Vc",0,false,0,,,,,,
Ugw2_RKHWIW_YVfQQYF4AaABAg,TheAlcohol Threat,9 months ago,1505177434323,Lendo cometário dos negos abaixos que não acreditam no que viram neste vídeo cheguei à seguinte conclusão: Hackers casca-grossa invandem sistemas complexos mundo a fora constantemente. Vai me dizer que uma urna eletrônica fuleira Made in Brazil é inviolável???,0,false,0,,,,,,
UgjhWxH8lYaVTngCoAEC,Emerson Ricardo,1 year ago,1497228634334,A dando nojo de vota em urnas eletrônicas só tem pilantra nesse Brasil Ladrão que flauda até as Eleições,0,false,0,,,,,,
UgjsMYUF4xPLnHgCoAEC,Nelson Mandela Muntz,1 year ago,1497228634341,se Perguntaren dou ate o nome da escola aqui nao tem rabo prezo so a verdade,0,false,0,,,,,,
UgiURyIut2r79HgCoAEC,Nelson Mandela Muntz,1 year ago,1497228634352,vou escrever oque um colega meu falou sobre urnas do Brasil se isso e bom por que Paises de primeiro mundo como EUA e grandes Paises da Europa  nao adotao esse sistema pois isso tem erros e fraude,0,false,0,,,,,,
Ugj94so5Du11hHgCoAEC,Nelson Mandela Muntz,1 year ago,1497228634365,assunto antigo voltando a tona,0,false,0,,,,,,
Ugjai547DfTBAXgCoAEC,Nelson Mandela Muntz,1 year ago,1497228634373,a prova maior e ver com os proprios olhos,0,false,0,,,,,,
UghYnhgM48qlk3gCoAEC,Nelson Mandela Muntz,1 year ago,1497228634387,me lembro quando fui votar no Aecio a minha maquina tambem estava adulterada,0,true,1,,,,,,
,,,,,,,,UghYnhgM48qlk3gCoAEC.8INpPLvefX78WAn28b0Cd0,Ariel jeová magno Rodrigues Simões Pereira,9 months ago,1505177434788,"Roger Petritty Como foi isso,nos conte?",0
UghQJJsZNx5BTHgCoAEC,Aldo Bezerra,1 year ago,1497228634399,Ninguem teve a curiosidade de levantar e ir até a urna pra ver o que estava acontecendo?,0,false,0,,,,,,
Uggpk-njJVRV43gCoAEC,Sidney007Rises,1 year ago,1497228634408,"NOSSA... a voz dessa mulher é muito aguda, até tive que baixar o volume do fone de ouvido.",0,false,0,,,,,,
UghQemtMYNqJTngCoAEC,Victor Hugo,2 years ago,1465692634418,"a urna estava tipo assim: É 13 POHA É 13 POHA É 13 POHA É 13 POHA É 13 POHA , É 13 MEMO CARALHO.",0,false,0,,,,,,
Uggv68Yg9S6GFngCoAEC,Violeta coquin,2 years ago,1465692634429,Essa eleição tinha que ter sido anulada. Foram muitas denúncias e onde há fumaça há fogo. Muita falcatrua!!! Ainda mais vindo do PT.,0,false,0,,,,,,
Ugh9R9mgE1XlK3gCoAEC,men must return to the forest,2 years ago,1465692634443,Dá um tiro de bazuca nessa merda!!!!,1,true,1,,,,,,
,,,,,,,,Ugh9R9mgE1XlK3gCoAEC.8CNb001qwWE8WAmYAjcApM,Ariel jeová magno Rodrigues Simões Pereira,9 months ago,1505177434821,"men must return to the forest Eu planejo isso,sabe,acho que vão me prender qualquer dias desses...",0
Ugh6izulXuNMJHgCoAEC,Geron Dysruptor Sevla,2 years ago,1465692634486,A própria apuração das urnas sem transparência nenhuma já é fraude em sim e um atentado a democracia. Acho que depois de tirar essa usurpadora chamada Dilma da presidência e de pedir a extinção do PT temos que ir as ruas contra as urnas eletrônicas que são uma fraude escancarada.,1,false,0,,,,,,
UgiS_--lmPHjzHgCoAEC,Rui Torres,2 years ago,1465692634499,"POR QUÊ, o MPF/Polícia Federal........ NÃO >>>>> INVESTE NISSO??",0,false,0,,,,,,
UgjBCeWjesbaM3gCoAEC,Jose Souza,2 years ago,1465692634503,esse negócio de urna eletrônica e inconstitucional pois mexe diretamente com o direito do povo  de se sentir seguro no execício do voto seguro .teve votação popular pra o desarmamento  mas pra emprantar urna  eletrônica se perguntar ao povo oque acha acho errado .,0,false,0,,,,,,
UgiRYla4GKS673gCoAEC,Vinicius Paiva,2 years ago,1465692634522,Essa urna tava sendo hackeada!,0,false,0,,,,,,
Ugg_ODktR_lz53gCoAEC,PAUL saw,2 years ago,1465692634527,FORAM COM BUGS COMO ESSE QUE A DILMA GANHOU A ELEIÇÃO,7,false,0,,,,,,
UghfLkAeR3UmB3gCoAEC,AURY GAMES,2 years ago,1465692635721,Eu não confiava no voto de papel imagina nessas urnas eletrônicas,3,true,1,,,,,,
,,,,,,,,UghfLkAeR3UmB3gCoAEC.87FRcnBkztD8DCOA3wvxiS,Wagner Magalhães,2 years ago,1465692636230,pelo menos o voto de papel dava pra recontar,2
Ugi57DfKcmWnR3gCoAEC,Natã Machado,2 years ago,1465692635733,MEU DEUSSSSS FIQUEI SURDOOOOO,1,false,0,,,,,,
UgjiR97aAEvJc3gCoAEC,Max Cirne,3 years ago,1434070235743,Melhor fazer como eu. Nunca voto. ANULO. Sou civilizado e não desejo uma pátria de assassinos governando o país,0,false,0,,,,,,
UgjcPBMy1ak9PngCoAEC,Capereira,3 years ago,1434070235753,Será uma urna assombrada?,0,false,0,,,,,,
UgjSOZvNSfu0-XgCoAEC,lokfreeze,3 years ago,1434070235764,"Eu realmente não entendo a índole do brasileiro...  Eu fui presidente de mesa durante 6 anos, ou seja, 3 eleições.  

dentre uma das funções e poder outorgado a mim pelo tre era  de substituição imediata da urna caso houvesse problemas durante seu funcionamento.  OBS, todos os presidentes de mesa são treinados pelo TRE  antes da eleição, pelo menos aqui na minha região eleitoral é assim.


Se isto tivesse havido na minha seção eu teria na HORA  desligado a máquina e teria imediatamente solicitado a troca

E se eu ao analisar a urna e constatasse que ela estaria em processo de looping   votando em algum candidato eu imediatamente chamaria a policia.


Fico pasmo e estarrecido com a capacidade do cidadão brasileiro ter aptidão a canalhice eleitoral... como se isso não influenciasse   diretamente seu modo de vida ...   é uma estupidez  ultraimbecilizada...   esse povo as vezes me casa nojo",3,false,0,,,,,,
UghKpHemn25XtngCoAEC,RAYMUNDO PEDRO SOBRINHO Rpedro,3 years ago,1434070235774,"Quando sera  que  vou  ver  esta cambada  do PTelhos , na  jaula ?O lula e a  Dilma !! temos  que  retirar, esta  corja  de ladrões e  ver  na  cadeia !! O COLO  não foi  posto  fora?  Porque a  Dilma  não ??",1,false,0,,,,,,
UghG3M_3XkGfq3gCoAEC,Estevan Matheus,3 years ago,1434070235786,"É alguma coisa errada. Delirando em cima do ocorrido, será que a urna trocava os votos das pessoas que já haviam votado? Ou é apenas o som?",0,false,0,,,,,,
Ughcwr-_PQbjyngCoAEC,Roberto Fioravante Campassi,3 years ago,1434070235794,"""GOLPE DE ESTADO JÁ, MILITAR NO PODER, VAGABUNDO NO PAREDÃO QUE NEM EM CUBA KKKKKKKKKKKKKKKKKKKKKKKKK""",1,false,0,,,,,,
UggtEtbdxxdZlngCoAEC,Beth Lordello,3 years ago,1434070235804,EU Não VOTO. Intervenção Militar Brasil.... Povo na RUUUA.. Unidos contra o PT.,4,false,0,,,,,,
Ughctm55-KrvyXgCoAEC,Yosseff,3 years ago,1434070235814,"Que ""figura"" essa apresentadora hein... :)",0,false,0,,,,,,
Ugg7s2MPd4c_WngCoAEC,Daniel Mendel,3 years ago,1434070235825,"Vocês tem que escolher âncoras melhores. A voz dessa mulher é MUITO irritante, sempre pulo essa introdução.",0,false,0,,,,,,
UggI90mMQdGvuXgCoAEC,Maurício Marques,3 years ago,1434070235836,"Consigo inserir som de urna computando votos em qualquer vídeo (churrasco de família, festa de aniversário, missa de primeira comunhão, ou mesmo num vídeo de zona eleitoral feito a partir de um celular) usando o videomaker!
Quer criar e espalhar vídeos colocando em dúvida a reputação do seu adversário? Qualquer boçal que saiba usar o Google consegue fazer isso.",0,false,0,,,,,,
UghEzQxEA8mK4XgCoAEC,Gelcimario Ferreira Pereira,3 years ago,1434070235846,vcs acredita em papai noel,0,false,0,,,,,,
Ugi1Hec9F5wJcHgCoAEC,PEACE Hunter,3 years ago,1434070235858,nao precisa gritar menina. Mas valeu o video,0,false,0,,,,,,
UgiUvaiKt_uZPHgCoAEC,Marcos Fabio Vieira da Cunha,3 years ago,1434070235869,"URNA? CHAMAM AQUELE BLOCO DE CONCRETO MOVIDO A BOBINA E TRANSISTOR DE URNA? SOMENTE NOSSO PAÍS E O SURINAME QUE USAM ESSE LIXO! 
  EM PAÍSES SÉRIOS ESSE BLOCO DE CONCRETO COM CIRCUITOS ARCAICOS, VULGO URNA ELETRÔNICA, É CONSIDERADA INCLUSIVE INCONSTITUCIONAL... MAS A JULGAR PELA CAPACIDADE DE ESCOLHA DO POVO BRASILEIRO, ESTE MODELO ESTÁ A ALTURA.",1,false,0,,,,,,
